Fullness, Decoded, Time//
0.720000, 1.000000, 838.310000//
0.721000, 1.000000, 13848.860000//
0.722000, 1.000000, 559.410000//
0.723000, 1.000000, 13319.110000//
0.724000, 1.000000, 3797.490000//
0.725000, 1.000000, 691.080000//
0.726000, 1.000000, 3778.000000//
0.727000, 1.000000, 657.370000//
0.728000, 1.000000, 14733.390000//
0.729000, 1.000000, 583.970000//
0.730000, 1.000000, 13611.210000//
0.731000, 1.000000, 564.630000//
0.732000, 0.990000, 3689.500000//
0.733000, 1.000000, 710.890000//
0.734000, 1.000000, 3211.330000//
0.735000, 1.000000, 496.090000//
0.736000, 1.000000, 3006.390000//
0.737000, 1.000000, 497.430000//
0.738000, 1.000000, 3634.660000//
0.739000, 1.000000, 702.550000//
0.740000, 1.000000, 4060.130000//
0.741000, 1.000000, 570.110000//
0.742000, 1.000000, 13046.780000//
0.743000, 1.000000, 4112.480000//
0.744000, 1.000000, 612.890000//
0.745000, 1.000000, 13517.800000//
0.746000, 1.000000, 522.180000//
0.747000, 1.000000, 3059.070000//
0.748000, 1.000000, 418.710000//
0.749000, 1.000000, 3353.330000//
0.750000, 1.000000, 405.230000//
0.751000, 1.000000, 8945.290000//
0.752000, 1.000000, 464.080000//
0.753000, 1.000000, 1473.490000//
0.754000, 0.990000, 453.980000//
0.755000, 1.000000, 11212.590000//
0.756000, 1.000000, 431.730000//
0.757000, 1.000000, 12426.900000//
0.758000, 1.000000, 450.630000//
0.759000, 1.000000, 3217.320000//
0.760000, 1.000000, 424.040000//
0.761000, 1.000000, 11802.560000//
0.762000, 1.000000, 396.200000//
0.763000, 1.000000, 3425.230000//
0.764000, 1.000000, 441.280000//
0.765000, 1.000000, 12226.850000//
0.766000, 1.000000, 416.640000//
0.767000, 1.000000, 12453.290000//
0.768000, 1.000000, 399.250000//
0.769000, 1.000000, 9505.130000//
0.770000, 1.000000, 2598.000000//
0.771000, 1.000000, 603.700000//
0.772000, 1.000000, 5569.660000//
0.773000, 0.990000, 551.230000//
0.774000, 1.000000, 1512.870000//
0.775000, 1.000000, 513.330000//
0.776000, 1.000000, 3489.350000//
0.777000, 1.000000, 445.650000//
0.778000, 0.990000, 9356.470000//
0.779000, 0.990000, 515.660000//
0.780000, 1.000000, 3443.180000//
0.781000, 1.000000, 407.690000//
0.782000, 0.990000, 13018.430000//
0.783000, 0.990000, 3493.200000//
0.784000, 0.990000, 681.300000//
0.785000, 0.960000, 3689.000000//
0.786000, 0.980000, 493.890000//
0.787000, 0.990000, 9521.760000//
0.788000, 0.930000, 3512.700000//
0.789000, 0.940000, 541.770000//
0.790000, 0.920000, 3659.560000//
0.791000, 0.970000, 468.870000//
0.792000, 0.980000, 13078.000000//
0.793000, 0.930000, 362.750000//
0.794000, 0.850000, 13116.340000//
0.795000, 0.880000, 3584.390000//
0.796000, 0.890000, 488.850000//
0.797000, 0.860000, 3586.880000//
0.798000, 0.870000, 417.790000//
0.799000, 0.790000, 12351.100000//
0.800000, 0.760000, 469.910000//
0.801000, 0.780000, 12567.380000//
0.802000, 0.690000, 3692.850000//
0.803000, 0.800000, 531.610000//
0.804000, 0.720000, 12884.840000//
0.805000, 0.540000, 442.330000//
0.806000, 0.570000, 13008.110000//
0.807000, 0.480000, 469.620000//
0.808000, 0.500000, 3570.890000//
0.809000, 0.420000, 506.370000//
0.810000, 0.350000, 3636.320000//
0.811000, 0.240000, 518.460000//
0.812000, 0.240000, 3609.610000//
0.813000, 0.210000, 558.160000//
0.814000, 0.140000, 12816.120000//
0.815000, 0.150000, 428.820000//
0.816000, 0.050000, 3797.150000//
0.817000, 0.060000, 514.960000//
0.818000, 0.050000, 3903.030000//
0.819000, 0.050000, 517.760000//
0.820000, 0.010000, 3827.140000//
0.821000, 0.010000, 589.450000//
0.822000, 0.010000, 3664.440000//
0.823000, 0.010000, 550.560000//
0.824000, 0.000000, 3718.040000//
0.825000, 0.000000, 510.080000//
0.826000, 0.000000, 13358.140000//
0.827000, 0.000000, 485.240000//
0.828000, 0.000000, 3555.940000//
0.829000, 0.000000, 496.240000//
0.830000, 0.000000, 3783.780000//
0.831000, 0.000000, 589.890000//
0.832000, 0.000000, 13087.780000//
0.833000, 0.000000, 535.430000//
0.834000, 0.000000, 3582.550000//
0.835000, 0.000000, 611.740000//
0.836000, 0.000000, 3840.810000//
0.837000, 0.000000, 613.630000//
0.838000, 0.000000, 3811.770000//
0.839000, 0.000000, 534.080000//
0.840000, 0.000000, 3869.320000//
0.841000, 0.000000, 523.200000//
0.842000, 0.000000, 3781.800000//
0.843000, 0.000000, 507.950000//
0.844000, 0.000000, 14393.110000//
0.845000, 0.000000, 492.100000//
0.846000, 0.000000, 11060.580000//
0.847000, 0.000000, 3946.120000//
0.848000, 0.000000, 523.760000//
0.849000, 0.000000, 14775.220000//
