Fullness, Decoded, Time//
0.720000, 1.000000, 156.810000//
0.721000, 1.000000, 131.120000//
0.722000, 1.000000, 1921.800000//
0.723000, 1.000000, 514.950000//
0.724000, 1.000000, 6779.940000//
0.725000, 1.000000, 176.180000//
0.726000, 1.000000, 1611.240000//
0.727000, 1.000000, 624.220000//
0.728000, 0.990000, 1679.100000//
0.729000, 1.000000, 334.650000//
0.730000, 1.000000, 104.250000//
0.731000, 1.000000, 1701.880000//
0.732000, 1.000000, 613.900000//
0.733000, 1.000000, 1850.330000//
0.734000, 1.000000, 162.730000//
0.735000, 1.000000, 73.530000//
0.736000, 1.000000, 1899.230000//
0.737000, 1.000000, 133.190000//
0.738000, 1.000000, 147.910000//
0.739000, 1.000000, 162.110000//
0.740000, 1.000000, 6589.530000//
0.741000, 1.000000, 196.680000//
0.742000, 1.000000, 1443.910000//
0.743000, 1.000000, 410.230000//
0.744000, 1.000000, 6914.770000//
0.745000, 1.000000, 267.580000//
0.746000, 1.000000, 5024.920000//
0.747000, 0.990000, 162.010000//
0.748000, 1.000000, 1965.940000//
0.749000, 1.000000, 331.770000//
0.750000, 1.000000, 1961.190000//
0.751000, 1.000000, 332.760000//
0.752000, 1.000000, 234.020000//
0.753000, 1.000000, 1950.520000//
0.754000, 1.000000, 626.750000//
0.755000, 1.000000, 2195.800000//
0.756000, 1.000000, 257.760000//
0.757000, 1.000000, 156.010000//
0.758000, 1.000000, 5849.250000//
0.759000, 1.000000, 306.700000//
0.760000, 1.000000, 7545.870000//
0.761000, 1.000000, 233.270000//
0.762000, 1.000000, 2134.200000//
0.763000, 1.000000, 209.310000//
0.764000, 1.000000, 122.290000//
0.765000, 0.990000, 7752.460000//
0.766000, 1.000000, 304.880000//
0.767000, 1.000000, 1388.210000//
0.768000, 1.000000, 542.690000//
0.769000, 1.000000, 1983.790000//
0.770000, 1.000000, 434.700000//
0.771000, 1.000000, 2044.140000//
0.772000, 0.990000, 840.010000//
0.773000, 1.000000, 2731.840000//
0.774000, 1.000000, 540.840000//
0.775000, 1.000000, 2241.940000//
0.776000, 1.000000, 135.720000//
0.777000, 1.000000, 95.640000//
0.778000, 1.000000, 86.870000//
0.779000, 1.000000, 92.730000//
0.780000, 1.000000, 62.190000//
0.781000, 1.000000, 8361.230000//
0.782000, 1.000000, 210.440000//
0.783000, 1.000000, 954.620000//
0.784000, 1.000000, 1076.870000//
0.785000, 1.000000, 2682.340000//
0.786000, 1.000000, 460.310000//
0.787000, 1.000000, 2379.450000//
0.788000, 1.000000, 163.380000//
0.789000, 1.000000, 147.630000//
0.790000, 1.000000, 2262.250000//
0.791000, 1.000000, 419.380000//
0.792000, 0.990000, 292.460000//
0.793000, 1.000000, 8454.820000//
0.794000, 1.000000, 373.110000//
0.795000, 1.000000, 2878.080000//
0.796000, 1.000000, 391.460000//
0.797000, 1.000000, 11013.020000//
0.798000, 1.000000, 419.620000//
0.799000, 1.000000, 9772.400000//
0.800000, 1.000000, 367.500000//
0.801000, 1.000000, 2402.500000//
0.802000, 1.000000, 116.000000//
0.803000, 1.000000, 82.270000//
0.804000, 0.980000, 97.880000//
0.805000, 0.980000, 2466.300000//
0.806000, 0.970000, 176.320000//
0.807000, 0.980000, 162.190000//
0.808000, 0.930000, 179.020000//
0.809000, 0.900000, 2419.400000//
0.810000, 0.850000, 408.250000//
0.811000, 0.830000, 2339.720000//
0.812000, 0.720000, 3240.510000//
0.813000, 0.700000, 39.350000//
0.814000, 0.600000, 35.630000//
0.815000, 0.520000, 37.150000//
0.816000, 0.480000, 46.100000//
0.817000, 0.490000, 10065.250000//
0.818000, 0.330000, 1697.100000//
0.819000, 0.250000, 494.780000//
0.820000, 0.150000, 10113.620000//
0.821000, 0.100000, 2681.470000//
0.822000, 0.040000, 820.390000//
0.823000, 0.060000, 3041.030000//
0.824000, 0.070000, 560.510000//
0.825000, 0.020000, 3020.740000//
0.826000, 0.020000, 492.700000//
0.827000, 0.000000, 9970.790000//
0.828000, 0.000000, 470.540000//
0.829000, 0.010000, 10122.220000//
0.830000, 0.000000, 3010.890000//
0.831000, 0.000000, 642.540000//
0.832000, 0.000000, 3231.910000//
0.833000, 0.000000, 472.970000//
0.834000, 0.000000, 3129.170000//
0.835000, 0.000000, 427.070000//
0.836000, 0.000000, 3044.330000//
0.837000, 0.000000, 597.770000//
0.838000, 0.000000, 3144.390000//
0.839000, 0.000000, 443.110000//
0.840000, 0.000000, 10231.100000//
0.841000, 0.000000, 2943.800000//
0.842000, 0.000000, 840.310000//
0.843000, 0.000000, 10588.710000//
0.844000, 0.000000, 445.640000//
0.845000, 0.000000, 10699.690000//
0.846000, 0.000000, 2913.490000//
0.847000, 0.000000, 994.410000//
0.848000, 0.000000, 3487.360000//
0.849000, 0.000000, 574.020000//
