Fullness, Decoded, Time//
0.720000, 1.000000, 69.830000//
0.721000, 0.990000, 38.910000//
0.722000, 1.000000, 37.030000//
0.723000, 0.990000, 33.100000//
0.724000, 1.000000, 83.230000//
0.725000, 1.000000, 57.090000//
0.726000, 1.000000, 47.260000//
0.727000, 1.000000, 729.770000//
0.728000, 1.000000, 40.800000//
0.729000, 1.000000, 55.420000//
0.730000, 1.000000, 52.030000//
0.731000, 1.000000, 28.940000//
0.732000, 1.000000, 30.040000//
0.733000, 1.000000, 48.180000//
0.734000, 1.000000, 954.450000//
0.735000, 1.000000, 63.230000//
0.736000, 1.000000, 49.950000//
0.737000, 1.000000, 32.230000//
0.738000, 1.000000, 35.420000//
0.739000, 1.000000, 36.830000//
0.740000, 1.000000, 40.620000//
0.741000, 1.000000, 1497.520000//
0.742000, 1.000000, 121.830000//
0.743000, 1.000000, 51.540000//
0.744000, 1.000000, 37.680000//
0.745000, 1.000000, 1864.960000//
0.746000, 1.000000, 259.580000//
0.747000, 1.000000, 91.470000//
0.748000, 1.000000, 51.460000//
0.749000, 1.000000, 35.000000//
0.750000, 1.000000, 39.610000//
0.751000, 1.000000, 32.890000//
0.752000, 1.000000, 3065.380000//
0.753000, 1.000000, 337.440000//
0.754000, 1.000000, 116.360000//
0.755000, 1.000000, 57.650000//
0.756000, 1.000000, 815.300000//
0.757000, 1.000000, 184.430000//
0.758000, 1.000000, 79.180000//
0.759000, 1.000000, 2650.220000//
0.760000, 1.000000, 83.320000//
0.761000, 1.000000, 38.150000//
0.762000, 1.000000, 60.860000//
0.763000, 1.000000, 34.560000//
0.764000, 1.000000, 77.890000//
0.765000, 1.000000, 590.450000//
0.766000, 1.000000, 31.060000//
0.767000, 1.000000, 28.140000//
0.768000, 1.000000, 27.020000//
0.769000, 1.000000, 28.510000//
0.770000, 1.000000, 27.720000//
0.771000, 1.000000, 27.760000//
0.772000, 1.000000, 68.670000//
0.773000, 1.000000, 55.540000//
0.774000, 1.000000, 31.030000//
0.775000, 1.000000, 29.150000//
0.776000, 1.000000, 31.880000//
0.777000, 1.000000, 31.550000//
0.778000, 1.000000, 35.690000//
0.779000, 1.000000, 40.130000//
0.780000, 1.000000, 88.620000//
0.781000, 1.000000, 28.560000//
0.782000, 1.000000, 26.430000//
0.783000, 1.000000, 27.430000//
0.784000, 1.000000, 28.440000//
0.785000, 1.000000, 148.690000//
0.786000, 1.000000, 142.090000//
0.787000, 1.000000, 29.630000//
0.788000, 1.000000, 130.260000//
0.789000, 1.000000, 34.420000//
0.790000, 1.000000, 41.980000//
0.791000, 1.000000, 73.670000//
0.792000, 1.000000, 87.160000//
0.793000, 1.000000, 1521.330000//
0.794000, 1.000000, 90.660000//
0.795000, 1.000000, 78.750000//
0.796000, 1.000000, 47.220000//
0.797000, 1.000000, 79.600000//
0.798000, 1.000000, 55.780000//
0.799000, 1.000000, 1820.010000//
0.800000, 1.000000, 83.800000//
0.801000, 1.000000, 77.910000//
0.802000, 1.000000, 76.180000//
0.803000, 1.000000, 77.200000//
0.804000, 1.000000, 46.990000//
0.805000, 0.990000, 1301.820000//
0.806000, 0.980000, 103.120000//
0.807000, 0.960000, 111.860000//
0.808000, 0.990000, 44.940000//
0.809000, 0.880000, 60.240000//
0.810000, 0.890000, 62.620000//
0.811000, 0.840000, 1954.200000//
0.812000, 0.820000, 155.470000//
0.813000, 0.690000, 85.010000//
0.814000, 0.710000, 67.250000//
0.815000, 0.650000, 78.400000//
0.816000, 0.470000, 86.190000//
0.817000, 0.480000, 3210.250000//
0.818000, 0.450000, 590.280000//
0.819000, 0.250000, 206.740000//
0.820000, 0.170000, 2270.580000//
0.821000, 0.180000, 78.760000//
0.822000, 0.110000, 82.630000//
0.823000, 0.140000, 50.980000//
0.824000, 0.070000, 39.440000//
0.825000, 0.030000, 84.710000//
0.826000, 0.020000, 35.740000//
0.827000, 0.010000, 3433.240000//
0.828000, 0.010000, 191.930000//
0.829000, 0.000000, 80.650000//
0.830000, 0.000000, 79.580000//
0.831000, 0.000000, 60.390000//
0.832000, 0.000000, 54.080000//
0.833000, 0.000000, 2036.950000//
0.834000, 0.000000, 77.730000//
0.835000, 0.000000, 50.600000//
0.836000, 0.000000, 51.420000//
0.837000, 0.000000, 67.580000//
0.838000, 0.000000, 66.960000//
0.839000, 0.000000, 1709.220000//
0.840000, 0.000000, 126.620000//
0.841000, 0.000000, 150.790000//
0.842000, 0.000000, 83.860000//
0.843000, 0.000000, 66.510000//
0.844000, 0.000000, 69.730000//
0.845000, 0.000000, 2184.390000//
0.846000, 0.000000, 252.430000//
0.847000, 0.000000, 158.670000//
0.848000, 0.000000, 2299.900000//
0.849000, 0.000000, 267.090000//
