Fullness, Decoded, Time//
0.720000, 1.000000, 10504.760000//
0.721000, 1.000000, 414.800000//
0.722000, 1.000000, 10972.400000//
0.723000, 1.000000, 377.900000//
0.724000, 1.000000, 3285.040000//
0.725000, 1.000000, 555.090000//
0.726000, 1.000000, 368.490000//
0.727000, 1.000000, 3286.670000//
0.728000, 1.000000, 413.890000//
0.729000, 1.000000, 3059.000000//
0.730000, 1.000000, 591.240000//
0.731000, 1.000000, 349.110000//
0.732000, 1.000000, 10949.820000//
0.733000, 1.000000, 501.360000//
0.734000, 1.000000, 3699.440000//
0.735000, 1.000000, 500.980000//
0.736000, 1.000000, 3283.070000//
0.737000, 1.000000, 729.450000//
0.738000, 0.990000, 434.250000//
0.739000, 1.000000, 3542.500000//
0.740000, 1.000000, 452.230000//
0.741000, 1.000000, 3116.700000//
0.742000, 0.990000, 603.750000//
0.743000, 1.000000, 355.090000//
0.744000, 0.990000, 11260.890000//
0.745000, 1.000000, 484.230000//
0.746000, 1.000000, 11194.620000//
0.747000, 1.000000, 471.580000//
0.748000, 1.000000, 3325.980000//
0.749000, 1.000000, 602.810000//
0.750000, 1.000000, 374.030000//
0.751000, 1.000000, 3448.020000//
0.752000, 1.000000, 529.900000//
0.753000, 1.000000, 3124.690000//
0.754000, 1.000000, 843.300000//
0.755000, 1.000000, 2629.130000//
0.756000, 1.000000, 758.730000//
0.757000, 1.000000, 412.040000//
0.758000, 1.000000, 2644.130000//
0.759000, 1.000000, 487.300000//
0.760000, 1.000000, 375.170000//
0.761000, 1.000000, 11954.290000//
0.762000, 1.000000, 494.540000//
0.763000, 1.000000, 3252.360000//
0.764000, 1.000000, 775.120000//
0.765000, 1.000000, 460.500000//
0.766000, 1.000000, 11327.150000//
0.767000, 0.990000, 482.820000//
0.768000, 1.000000, 8609.860000//
0.769000, 1.000000, 430.580000//
0.770000, 1.000000, 3480.610000//
0.771000, 1.000000, 529.190000//
0.772000, 1.000000, 350.060000//
0.773000, 1.000000, 3584.290000//
0.774000, 1.000000, 571.620000//
0.775000, 1.000000, 3131.370000//
0.776000, 1.000000, 806.890000//
0.777000, 1.000000, 3394.020000//
0.778000, 1.000000, 839.400000//
0.779000, 1.000000, 470.670000//
0.780000, 1.000000, 3437.570000//
0.781000, 0.990000, 468.220000//
0.782000, 0.980000, 299.920000//
0.783000, 0.990000, 281.370000//
0.784000, 1.000000, 10711.410000//
0.785000, 0.960000, 486.740000//
0.786000, 0.980000, 3376.360000//
0.787000, 0.970000, 664.440000//
0.788000, 0.940000, 3223.280000//
0.789000, 0.930000, 810.340000//
0.790000, 0.960000, 437.380000//
0.791000, 0.940000, 3510.560000//
0.792000, 0.960000, 551.750000//
0.793000, 0.900000, 376.650000//
0.794000, 0.900000, 11647.160000//
0.795000, 0.890000, 524.500000//
0.796000, 0.850000, 3375.280000//
0.797000, 0.790000, 716.050000//
0.798000, 0.940000, 440.290000//
0.799000, 0.840000, 3565.220000//
0.800000, 0.800000, 609.930000//
0.801000, 0.780000, 389.760000//
0.802000, 0.830000, 12577.010000//
0.803000, 0.810000, 553.680000//
0.804000, 0.620000, 3728.500000//
0.805000, 0.700000, 599.960000//
0.806000, 0.660000, 3340.660000//
0.807000, 0.530000, 896.490000//
0.808000, 0.520000, 3324.360000//
0.809000, 0.450000, 1002.040000//
0.810000, 0.340000, 553.020000//
0.811000, 0.280000, 3305.860000//
0.812000, 0.300000, 594.460000//
0.813000, 0.220000, 375.020000//
0.814000, 0.210000, 12276.990000//
0.815000, 0.140000, 530.320000//
0.816000, 0.100000, 3655.310000//
0.817000, 0.050000, 644.910000//
0.818000, 0.070000, 3378.150000//
0.819000, 0.060000, 856.590000//
0.820000, 0.000000, 3744.610000//
0.821000, 0.020000, 766.240000//
0.822000, 0.000000, 473.900000//
0.823000, 0.000000, 3852.640000//
0.824000, 0.000000, 641.090000//
0.825000, 0.010000, 384.950000//
0.826000, 0.000000, 3596.250000//
0.827000, 0.000000, 696.570000//
0.828000, 0.000000, 429.980000//
0.829000, 0.000000, 12716.500000//
0.830000, 0.000000, 544.390000//
0.831000, 0.000000, 23066.310000//
0.832000, 0.000000, 404.530000//
0.833000, 0.000000, 1739.360000//
0.834000, 0.000000, 672.550000//
0.835000, 0.000000, 3867.390000//
0.836000, 0.000000, 745.570000//
0.837000, 0.000000, 3677.530000//
0.838000, 0.000000, 870.000000//
0.839000, 0.000000, 539.780000//
0.840000, 0.000000, 8555.450000//
0.841000, 0.000000, 514.060000//
0.842000, 0.000000, 1655.750000//
0.843000, 0.000000, 587.180000//
0.844000, 0.000000, 2582.990000//
0.845000, 0.000000, 549.700000//
0.846000, 0.000000, 3782.590000//
0.847000, 0.000000, 522.830000//
0.848000, 0.000000, 4056.600000//
0.849000, 0.000000, 3716.410000//
