Fullness, Decoded, Time//
0.720000, 1.000000, 133.700000//
0.721000, 1.000000, 2843.400000//
0.722000, 1.000000, 88.640000//
0.723000, 1.000000, 67.220000//
0.724000, 1.000000, 65.320000//
0.725000, 1.000000, 58.880000//
0.726000, 1.000000, 581.270000//
0.727000, 1.000000, 117.900000//
0.728000, 1.000000, 105.170000//
0.729000, 1.000000, 75.420000//
0.730000, 1.000000, 61.160000//
0.731000, 1.000000, 54.070000//
0.732000, 1.000000, 43.370000//
0.733000, 1.000000, 1884.880000//
0.734000, 1.000000, 65.220000//
0.735000, 1.000000, 46.170000//
0.736000, 1.000000, 43.400000//
0.737000, 1.000000, 28.750000//
0.738000, 1.000000, 35.680000//
0.739000, 1.000000, 29.440000//
0.740000, 1.000000, 370.000000//
0.741000, 1.000000, 308.990000//
0.742000, 1.000000, 137.240000//
0.743000, 1.000000, 119.470000//
0.744000, 1.000000, 81.870000//
0.745000, 1.000000, 63.040000//
0.746000, 1.000000, 48.390000//
0.747000, 1.000000, 4083.190000//
0.748000, 1.000000, 113.670000//
0.749000, 1.000000, 69.470000//
0.750000, 1.000000, 64.980000//
0.751000, 1.000000, 3027.900000//
0.752000, 1.000000, 166.850000//
0.753000, 1.000000, 183.380000//
0.754000, 1.000000, 117.110000//
0.755000, 1.000000, 86.200000//
0.756000, 1.000000, 65.150000//
0.757000, 1.000000, 46.590000//
0.758000, 1.000000, 2467.680000//
0.759000, 1.000000, 81.370000//
0.760000, 1.000000, 63.770000//
0.761000, 1.000000, 58.710000//
0.762000, 1.000000, 62.000000//
0.763000, 1.000000, 38.040000//
0.764000, 1.000000, 44.160000//
0.765000, 1.000000, 863.520000//
0.766000, 1.000000, 93.600000//
0.767000, 1.000000, 73.380000//
0.768000, 1.000000, 41.720000//
0.769000, 1.000000, 75.090000//
0.770000, 1.000000, 34.710000//
0.771000, 1.000000, 30.420000//
0.772000, 1.000000, 1171.330000//
0.773000, 1.000000, 109.550000//
0.774000, 1.000000, 42.920000//
0.775000, 1.000000, 57.710000//
0.776000, 1.000000, 40.080000//
0.777000, 1.000000, 41.650000//
0.778000, 1.000000, 50.390000//
0.779000, 1.000000, 5034.340000//
0.780000, 1.000000, 141.770000//
0.781000, 1.000000, 89.420000//
0.782000, 1.000000, 69.080000//
0.783000, 1.000000, 94.660000//
0.784000, 1.000000, 67.080000//
0.785000, 1.000000, 589.880000//
0.786000, 1.000000, 357.230000//
0.787000, 1.000000, 173.180000//
0.788000, 1.000000, 129.830000//
0.789000, 1.000000, 1571.460000//
0.790000, 1.000000, 132.350000//
0.791000, 1.000000, 105.660000//
0.792000, 1.000000, 85.220000//
0.793000, 1.000000, 5514.730000//
0.794000, 1.000000, 179.450000//
0.795000, 1.000000, 160.620000//
0.796000, 1.000000, 1416.970000//
0.797000, 1.000000, 279.780000//
0.798000, 1.000000, 182.970000//
0.799000, 1.000000, 1367.540000//
0.800000, 1.000000, 112.300000//
0.801000, 1.000000, 74.990000//
0.802000, 1.000000, 72.370000//
0.803000, 1.000000, 4703.180000//
0.804000, 1.000000, 174.930000//
0.805000, 0.980000, 108.030000//
0.806000, 0.980000, 738.200000//
0.807000, 0.990000, 563.970000//
0.808000, 0.950000, 272.280000//
0.809000, 0.960000, 1533.010000//
0.810000, 0.940000, 184.450000//
0.811000, 0.800000, 88.670000//
0.812000, 0.850000, 56.930000//
0.813000, 0.810000, 4314.100000//
0.814000, 0.730000, 144.110000//
0.815000, 0.620000, 102.090000//
0.816000, 0.580000, 1090.560000//
0.817000, 0.390000, 394.090000//
0.818000, 0.390000, 230.520000//
0.819000, 0.230000, 4768.070000//
0.820000, 0.280000, 115.840000//
0.821000, 0.120000, 111.050000//
0.822000, 0.180000, 50.110000//
0.823000, 0.060000, 57.280000//
0.824000, 0.030000, 44.880000//
0.825000, 0.060000, 3626.430000//
0.826000, 0.010000, 296.270000//
0.827000, 0.010000, 175.830000//
0.828000, 0.010000, 1826.270000//
0.829000, 0.000000, 125.690000//
0.830000, 0.000000, 130.240000//
0.831000, 0.000000, 95.310000//
0.832000, 0.000000, 1837.550000//
0.833000, 0.000000, 214.130000//
0.834000, 0.000000, 133.630000//
0.835000, 0.000000, 1413.530000//
0.836000, 0.000000, 306.930000//
0.837000, 0.000000, 134.690000//
0.838000, 0.000000, 100.260000//
0.839000, 0.000000, 1972.300000//
0.840000, 0.000000, 323.840000//
0.841000, 0.000000, 248.570000//
0.842000, 0.000000, 1788.850000//
0.843000, 0.000000, 105.080000//
0.844000, 0.000000, 79.200000//
0.845000, 0.000000, 63.400000//
0.846000, 0.000000, 1972.240000//
0.847000, 0.000000, 270.930000//
0.848000, 0.000000, 167.700000//
0.849000, 0.000000, 1870.120000//
