Fullness, Decoded, Time//
0.720000, 1.000000, 24.220000//
0.721000, 1.000000, 23.300000//
0.722000, 1.000000, 22.620000//
0.723000, 1.000000, 19.940000//
0.724000, 1.000000, 20.050000//
0.725000, 1.000000, 32.690000//
0.726000, 0.990000, 353.660000//
0.727000, 1.000000, 22.580000//
0.728000, 1.000000, 21.950000//
0.729000, 1.000000, 21.840000//
0.730000, 1.000000, 23.710000//
0.731000, 1.000000, 25.690000//
0.732000, 1.000000, 28.470000//
0.733000, 1.000000, 33.950000//
0.734000, 1.000000, 83.100000//
0.735000, 0.990000, 26.120000//
0.736000, 1.000000, 21.080000//
0.737000, 1.000000, 20.790000//
0.738000, 1.000000, 23.450000//
0.739000, 1.000000, 31.600000//
0.740000, 0.990000, 35.380000//
0.741000, 1.000000, 31.420000//
0.742000, 1.000000, 104.250000//
0.743000, 1.000000, 36.180000//
0.744000, 1.000000, 45.580000//
0.745000, 1.000000, 33.590000//
0.746000, 1.000000, 35.450000//
0.747000, 1.000000, 439.220000//
0.748000, 1.000000, 21.460000//
0.749000, 0.990000, 20.140000//
0.750000, 1.000000, 55.560000//
0.751000, 1.000000, 40.660000//
0.752000, 1.000000, 273.630000//
0.753000, 1.000000, 40.800000//
0.754000, 1.000000, 33.120000//
0.755000, 1.000000, 57.400000//
0.756000, 1.000000, 58.680000//
0.757000, 1.000000, 39.460000//
0.758000, 1.000000, 1366.470000//
0.759000, 1.000000, 33.520000//
0.760000, 1.000000, 31.250000//
0.761000, 1.000000, 42.550000//
0.762000, 1.000000, 52.020000//
0.763000, 1.000000, 1906.420000//
0.764000, 1.000000, 261.940000//
0.765000, 1.000000, 81.670000//
0.766000, 1.000000, 79.570000//
0.767000, 1.000000, 41.430000//
0.768000, 1.000000, 29.190000//
0.769000, 0.980000, 40.630000//
0.770000, 0.970000, 826.940000//
0.771000, 0.950000, 353.800000//
0.772000, 0.960000, 135.510000//
0.773000, 0.980000, 1469.250000//
0.774000, 0.930000, 31.290000//
0.775000, 0.910000, 41.790000//
0.776000, 0.850000, 30.490000//
0.777000, 0.790000, 30.040000//
0.778000, 0.760000, 27.750000//
0.779000, 0.720000, 46.160000//
0.780000, 0.640000, 34.200000//
0.781000, 0.610000, 34.270000//
0.782000, 0.450000, 30.020000//
0.783000, 0.420000, 23.560000//
0.784000, 0.380000, 19.700000//
0.785000, 0.250000, 25.850000//
0.786000, 0.200000, 39.990000//
0.787000, 0.210000, 82.660000//
0.788000, 0.130000, 27.590000//
0.789000, 0.060000, 30.240000//
0.790000, 0.030000, 44.030000//
0.791000, 0.010000, 37.100000//
0.792000, 0.030000, 28.400000//
0.793000, 0.000000, 29.040000//
0.794000, 0.000000, 31.460000//
0.795000, 0.030000, 42.930000//
0.796000, 0.000000, 50.380000//
0.797000, 0.010000, 27.380000//
0.798000, 0.000000, 323.240000//
0.799000, 0.000000, 23.070000//
0.800000, 0.000000, 34.670000//
0.801000, 0.000000, 59.330000//
0.802000, 0.000000, 801.840000//
0.803000, 0.000000, 325.500000//
0.804000, 0.000000, 160.470000//
0.805000, 0.000000, 1395.110000//
0.806000, 0.000000, 34.270000//
0.807000, 0.000000, 91.890000//
0.808000, 0.000000, 37.900000//
0.809000, 0.000000, 38.720000//
0.810000, 0.000000, 1164.030000//
0.811000, 0.000000, 44.250000//
0.812000, 0.000000, 24.320000//
0.813000, 0.000000, 21.140000//
0.814000, 0.000000, 22.290000//
0.815000, 0.000000, 21.700000//
0.816000, 0.000000, 29.560000//
0.817000, 0.000000, 54.490000//
0.818000, 0.000000, 26.210000//
0.819000, 0.000000, 21.330000//
0.820000, 0.000000, 33.500000//
0.821000, 0.000000, 34.780000//
0.822000, 0.000000, 302.900000//
0.823000, 0.000000, 22.630000//
0.824000, 0.000000, 24.060000//
0.825000, 0.000000, 42.590000//
0.826000, 0.000000, 27.760000//
0.827000, 0.000000, 1922.370000//
0.828000, 0.000000, 28.730000//
0.829000, 0.000000, 30.400000//
0.830000, 0.000000, 30.990000//
0.831000, 0.000000, 50.430000//
0.832000, 0.000000, 1744.820000//
0.833000, 0.000000, 227.050000//
0.834000, 0.000000, 123.060000//
0.835000, 0.000000, 97.280000//
0.836000, 0.000000, 73.330000//
0.837000, 0.000000, 55.560000//
0.838000, 0.000000, 5376.240000//
0.839000, 0.000000, 204.300000//
0.840000, 0.000000, 139.330000//
0.841000, 0.000000, 1686.470000//
0.842000, 0.000000, 405.180000//
0.843000, 0.000000, 190.570000//
0.844000, 0.000000, 3186.000000//
0.845000, 0.000000, 165.230000//
0.846000, 0.000000, 105.720000//
0.847000, 0.000000, 110.410000//
0.848000, 0.000000, 91.140000//
0.849000, 0.000000, 58.020000//
