Fullness, Decoded, Time, //
1.420000, 0.925000, 2853.750000, //
1.430000, 0.950000, 2464.675000, //
1.440000, 0.900000, 3161.025000, //
1.450000, 0.950000, 2908.775000, //
1.460000, 0.925000, 4482.850000, //
1.470000, 0.975000, 3968.900000, //
1.480000, 0.950000, 4540.325000, //
1.490000, 0.950000, 4577.325000, //
1.500000, 1.000000, 4083.325000, //
1.510000, 0.950000, 4993.350000, //
1.520000, 0.950000, 5890.025000, //
1.530000, 0.850000, 7587.625000, //
1.540000, 0.675000, 7175.225000, //
1.550000, 0.650000, 5946.875000, //
1.560000, 0.275000, 5214.025000, //
1.570000, 0.150000, 5587.225000, //
1.580000, 0.000000, 3511.350000, //
1.590000, 0.000000, 4177.175000, //
