Fullness, Decoded, Time, //
1.420000, 1.000000, 4821.600000, //
1.430000, 1.000000, 5568.325000, //
1.440000, 1.000000, 5591.700000, //
1.450000, 1.000000, 6440.025000, //
1.460000, 1.000000, 7560.775000, //
1.470000, 1.000000, 7957.900000, //
1.480000, 0.925000, 10987.200000, //
1.490000, 0.750000, 10425.850000, //
1.500000, 0.300000, 10512.050000, //
1.510000, 0.025000, 8149.900000, //
1.520000, 0.000000, 7723.300000, //
1.530000, 0.000000, 7117.575000, //
1.540000, 0.000000, 6204.675000, //
1.550000, 0.000000, 3995.375000, //
1.560000, 0.000000, 4662.900000, //
1.570000, 0.000000, 4354.075000, //
1.580000, 0.000000, 3107.000000, //
1.590000, 0.000000, 3273.775000, //
