Fullness, Decoded, Time, //
1.420000, 1.000000, 6121.325000, //
1.430000, 0.975000, 7328.150000, //
1.440000, 0.725000, 8904.750000, //
1.450000, 0.375000, 9732.125000, //
1.460000, 0.025000, 7396.900000, //
1.470000, 0.000000, 6507.325000, //
1.480000, 0.000000, 5168.675000, //
1.490000, 0.000000, 5410.175000, //
1.500000, 0.000000, 5928.350000, //
1.510000, 0.000000, 5030.950000, //
1.520000, 0.000000, 4097.950000, //
1.530000, 0.000000, 4000.100000, //
1.540000, 0.000000, 3733.150000, //
1.550000, 0.000000, 3289.850000, //
1.560000, 0.000000, 3612.600000, //
1.570000, 0.000000, 2832.075000, //
1.580000, 0.000000, 3704.800000, //
1.590000, 0.000000, 4180.025000, //
