fullness,recovery,time
0.72,1,133.7
0.721,1,2843.4
0.722,1,88.64
0.723,1,67.22
0.724,1,65.32
0.725,1,58.88
0.726,1,581.27
0.727,1,117.9
0.728,1,105.17
0.729,1,75.42
0.73,1,61.16
0.731,1,54.07
0.732,1,43.37
0.733,1,1884.88
0.734,1,65.22
0.735,1,46.17
0.736,1,43.4
0.737,1,28.75
0.738,1,35.68
0.739,1,29.44
0.74,1,370
0.741,1,308.99
0.742,1,137.24
0.743,1,119.47
0.744,1,81.87
0.745,1,63.04
0.746,1,48.39
0.747,1,4083.19
0.748,1,113.67
0.749,1,69.47
0.75,1,64.98
0.751,1,3027.9
0.752,1,166.85
0.753,1,183.38
0.754,1,117.11
0.755,1,86.2
0.756,1,65.15
0.757,1,46.59
0.758,1,2467.68
0.759,1,81.37
0.76,1,63.77
0.761,1,58.71
0.762,1,62
0.763,1,38.04
0.764,1,44.16
0.765,1,863.52
0.766,1,93.6
0.767,1,73.38
0.768,1,41.72
0.769,1,75.09
0.77,1,34.71
0.771,1,30.42
0.772,1,1171.33
0.773,1,109.55
0.774,1,42.92
0.775,1,57.71
0.776,1,40.08
0.777,1,41.65
0.778,1,50.39
0.779,1,5034.34
0.78,1,141.77
0.781,1,89.42
0.782,1,69.08
0.783,1,94.66
0.784,1,67.08
0.785,1,589.88
0.786,1,357.23
0.787,1,173.18
0.788,1,129.83
0.789,1,1571.46
0.79,1,132.35
0.791,1,105.66
0.792,1,85.22
0.793,1,5514.73
0.794,1,179.45
0.795,1,160.62
0.796,1,1416.97
0.797,1,279.78
0.798,1,182.97
0.799,1,1367.54
0.8,1,112.3
0.801,1,74.99
0.802,1,72.37
0.803,1,4703.18
0.804,1,174.93
0.805,0.98,108.03
0.806,0.98,738.2
0.807,0.99,563.97
0.808,0.95,272.28
0.809,0.96,1533.01
0.81,0.94,184.45
0.811,0.8,88.67
0.812,0.85,56.93
0.813,0.81,4314.1
0.814,0.73,144.11
0.815,0.62,102.09
0.816,0.58,1090.56
0.817,0.39,394.09
0.818,0.39,230.52
0.819,0.23,4768.07
0.82,0.28,115.84
0.821,0.12,111.05
0.822,0.18,50.11
0.823,0.06,57.28
0.824,0.03,44.88
0.825,0.06,3626.43
0.826,0.01,296.27
0.827,0.01,175.83
0.828,0.01,1826.27
0.829,0,125.69
0.83,0,130.24
0.831,0,95.31
0.832,0,1837.55
0.833,0,214.13
0.834,0,133.63
0.835,0,1413.53
0.836,0,306.93
0.837,0,134.69
0.838,0,100.26
0.839,0,1972.3
0.84,0,323.84
0.841,0,248.57
0.842,0,1788.85
0.843,0,105.08
0.844,0,79.2
0.845,0,63.4
0.846,0,1972.24
0.847,0,270.93
0.848,0,167.7
0.849,0,1870.12

