BasicTestConfig { Start = 0.72, End = 0.85, Step = 0.001, TestsInBattery = 100, Size = 10000, HfFamily = FlashHash.SchemesAndFamilies.TabulationFamily }
BatteryDecodingResult { Fullness = 0.72, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 37.59 }
BatteryDecodingResult { Fullness = 0.721, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 37.99 }
BatteryDecodingResult { Fullness = 0.722, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 29.32 }
BatteryDecodingResult { Fullness = 0.723, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 27.7 }
BatteryDecodingResult { Fullness = 0.724, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 28.15 }
BatteryDecodingResult { Fullness = 0.725, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 64.15 }
BatteryDecodingResult { Fullness = 0.726, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 25.86 }
BatteryDecodingResult { Fullness = 0.727, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 28.44 }
BatteryDecodingResult { Fullness = 0.728, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 28.83 }
BatteryDecodingResult { Fullness = 0.729, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 26.97 }
BatteryDecodingResult { Fullness = 0.73, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 33.36 }
BatteryDecodingResult { Fullness = 0.731, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 34.66 }
BatteryDecodingResult { Fullness = 0.732, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 51.3 }
BatteryDecodingResult { Fullness = 0.733, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 28.91 }
BatteryDecodingResult { Fullness = 0.734, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 26.99 }
BatteryDecodingResult { Fullness = 0.735, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 27.47 }
BatteryDecodingResult { Fullness = 0.736, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 27.46 }
BatteryDecodingResult { Fullness = 0.737, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 27.9 }
BatteryDecodingResult { Fullness = 0.738, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 32.68 }
BatteryDecodingResult { Fullness = 0.739, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 33.22 }
BatteryDecodingResult { Fullness = 0.74, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 30.65 }
BatteryDecodingResult { Fullness = 0.741, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 34.28 }
BatteryDecodingResult { Fullness = 0.742, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 375.96 }
BatteryDecodingResult { Fullness = 0.743, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 31.32 }
BatteryDecodingResult { Fullness = 0.744, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 30.16 }
BatteryDecodingResult { Fullness = 0.745, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 38.45 }
BatteryDecodingResult { Fullness = 0.746, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 29.06 }
BatteryDecodingResult { Fullness = 0.747, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 31.02 }
BatteryDecodingResult { Fullness = 0.748, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 41.02 }
BatteryDecodingResult { Fullness = 0.749, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 29.14 }
BatteryDecodingResult { Fullness = 0.75, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 29.21 }
